kept_transcripts	age<50&storm	ref	var
A2M	0	685	0
A2M	1	82	1
AARS2	0	683	2
AARS2	1	82	1
ABCA1	0	683	2
ABCA1	1	83	0
ABCA12	0	683	2
ABCA12	1	83	0
ABCA4	0	685	0
ABCA4	1	82	1
ABCB1	0	684	1
ABCB1	1	82	1
ABCB4	0	684	1
ABCB4	1	83	0
ABCB6	0	682	3
ABCB6	1	82	1
ABCC11	0	668	17
ABCC11	1	81	2
ABCC12	0	684	1
ABCC12	1	83	0
ABCC2	0	682	3
ABCC2	1	83	0
ABCC8	0	683	2
ABCC8	1	83	0
ABCC9	0	680	5
ABCC9	1	83	0
ABCG2	0	685	0
ABCG2	1	82	1
ABCG5	0	684	1
ABCG5	1	83	0
ABCG8	0	684	1
ABCG8	1	81	2
ABO	0	663	22
ABO	1	80	3
AC002470.2	0	684	1
AC002470.2	1	83	0
AC008629.1	0	684	1
AC008629.1	1	83	0
AC009533.1	0	683	2
AC009533.1	1	83	0
AC010789.2	0	683	2
AC010789.2	1	83	0
AC011530.1	0	683	2
AC011530.1	1	83	0
AC048338.1	0	684	1
AC048338.1	1	83	0
AC093512.2	0	684	1
AC093512.2	1	83	0
ACACB	0	682	3
ACACB	1	83	0
ACAD8	0	684	1
ACAD8	1	83	0
ACADL	0	669	16
ACADL	1	81	2
ACADSB	0	683	2
ACADSB	1	82	1
ACADVL	0	684	1
ACADVL	1	83	0
ACAT2	0	684	1
ACAT2	1	83	0
ACBD6	0	670	15
ACBD6	1	82	1
ACSF3	0	683	2
ACSF3	1	82	1
ACTG1	0	685	0
ACTG1	1	82	1
ACTN4	0	685	0
ACTN4	1	83	0
ACVR2B	0	684	1
ACVR2B	1	83	0
ADAMTS10	0	684	1
ADAMTS10	1	83	0
ADAMTS13	0	684	1
ADAMTS13	1	83	0
ADAMTS18	0	671	14
ADAMTS18	1	83	0
ADAMTSL2	0	682	3
ADAMTSL2	1	83	0
ADAMTSL4	0	677	8
ADAMTSL4	1	83	0
ADD1	0	682	3
ADD1	1	83	0
ADH1A	0	684	1
ADH1A	1	83	0
ADH1C	0	655	30
ADH1C	1	77	6
AGBL1	0	681	4
AGBL1	1	83	0
AGGF1	0	684	1
AGGF1	1	83	0
AGL	0	685	0
AGL	1	83	0
AGPS	0	682	3
AGPS	1	82	1
AGRN	0	684	1
AGRN	1	83	0
AGXT2	0	670	15
AGXT2	1	80	3
AHCY	0	685	0
AHCY	1	83	0
AIPL1	0	683	2
AIPL1	1	83	0
AIRE	0	681	4
AIRE	1	83	0
AKAP9	0	684	1
AKAP9	1	83	0
AL358113.1	0	684	1
AL358113.1	1	83	0
AL450384.2	0	684	1
AL450384.2	1	83	0
ALB	0	684	1
ALB	1	83	0
ALDH7A1	0	684	1
ALDH7A1	1	83	0
ALG11	0	684	1
ALG11	1	83	0
ALG12	0	683	2
ALG12	1	83	0
ALG6	0	684	1
ALG6	1	83	0
